WKT,name,description
POINT (73.854012 18.4859734),Point_1,
POINT (73.8574725 18.4861903),Point_2,
POINT (73.8540993 18.4811596),Point_3,
POINT (73.8530492 18.4807727),Point_4,
POINT (73.8517816 18.4827375),Point_5,
POINT (73.8571231 18.4812592),Point_6,
POINT (73.8516831 18.4855984),Point_7,
POINT (73.8498655 18.4851876),Point_8,
POINT (73.8504216 18.4798863),Point_9,
POINT (73.8498676 18.4833213),Point_10,
"LINESTRING (73.8540121 18.4859754, 73.8574725 18.4861903)",Line_1_2,
"LINESTRING (73.8516829 18.4856027, 73.852844 18.4858814, 73.8532678 18.4859513, 73.8540121 18.4859754)",Line_1_7,
"LINESTRING (73.8540121 18.4859754, 73.8540993 18.4811596)",Line_1_3,
"LINESTRING (73.8530492 18.4807727, 73.8532561 18.4808625, 73.8535592 18.4810507, 73.8540983 18.4811754)",Line_3_4,
"LINESTRING (73.8540983 18.4811754, 73.8557028 18.481252, 73.8571231 18.4812592)",Line_3_6,
"LINESTRING (73.8530492 18.4807727, 73.8528852 18.481122, 73.8525754 18.4814018, 73.8520953 18.4817376, 73.8518681 18.4823221, 73.8517816 18.4827375)",Line_4_5,
"LINESTRING (73.8530492 18.4807727, 73.850832 18.479969, 73.8504216 18.4798863)",Line_4_9,
"LINESTRING (73.8517812 18.4827401, 73.8517326 18.4831393, 73.8516831 18.4855984)",Line_5_7,
"LINESTRING (73.8517791 18.4827481, 73.8505817 18.4825354, 73.8505154 18.4825646, 73.8503672 18.483371, 73.849868 18.4833233)",Line_5_10,
"LINESTRING (73.8571231 18.4812592, 73.8571921 18.4824471, 73.857434 18.4840618, 73.8575033 18.4856326, 73.8574725 18.4861903)",Line_6_2,
"LINESTRING (73.8516835 18.4856054, 73.8509532 18.4854213, 73.8498655 18.4851876)",Line_7_8,
"LINESTRING (73.8498655 18.4851876, 73.8497996 18.4849166, 73.8497428 18.4844723, 73.8497509 18.4840055, 73.849868 18.4833233)",Line_8_10,
"LINESTRING (73.8498676 18.4833213, 73.8500679 18.4820128, 73.8501471 18.4818322, 73.8502945 18.480568, 73.850422 18.4798885)",Line_9_10,
